id,key,value,type
69110392,highway,turning_circle,regular
69113606,highway,turning_circle,regular
69119196,highway,turning_circle,regular
69119277,highway,turning_circle,regular
69119290,highway,turning_circle,regular
69127493,highway,turning_circle,regular
69127504,highway,turning_circle,regular
69127545,highway,turning_circle,regular
69128538,highway,turning_circle,regular
69141292,highway,turning_circle,regular
69141299,highway,turning_circle,regular
69149575,highway,turning_circle,regular
69155321,highway,turning_circle,regular
69155404,highway,turning_circle,regular
69157937,highway,turning_circle,regular
69159902,highway,turning_circle,regular
69160770,highway,turning_circle,regular
69161626,highway,turning_circle,regular
69164387,highway,turning_loop,regular
69166697,highway,turning_circle,regular
69167117,highway,turning_circle,regular
69168444,highway,turning_circle,regular
69169541,highway,turning_circle,regular
69172287,highway,turning_circle,regular
69172294,highway,traffic_signals,regular
69173506,highway,turning_circle,regular
69174635,highway,turning_circle,regular
69174756,highway,turning_circle,regular
69175851,highway,turning_circle,regular
69178341,highway,turning_circle,regular
69181050,highway,turning_circle,regular
69181163,highway,turning_circle,regular
69181848,highway,turning_circle,regular
69183295,highway,turning_circle,regular
69185163,highway,turning_circle,regular
69185210,highway,turning_circle,regular
69186456,highway,turning_loop,regular
69186506,highway,turning_circle,regular
69189140,highway,turning_circle,regular
69190132,highway,turning_circle,regular
69190176,highway,turning_circle,regular
69190210,highway,turning_loop,regular
69190424,highway,turning_circle,regular
69194355,highway,traffic_signals,regular
69195501,highway,turning_circle,regular
69198797,highway,turning_circle,regular
69198926,highway,turning_circle,regular
69198953,highway,turning_circle,regular
69200028,highway,turning_circle,regular
69200102,highway,turning_circle,regular
69200273,highway,turning_circle,regular
69201289,highway,turning_loop,regular
69202085,highway,turning_circle,regular
69202175,highway,turning_circle,regular
69204783,highway,turning_loop,regular
69205661,highway,turning_circle,regular
69206546,highway,turning_loop,regular
69206658,highway,turning_circle,regular
69208127,highway,turning_circle,regular
69208311,highway,turning_circle,regular
69210831,highway,turning_circle,regular
69211513,highway,turning_circle,regular
69211781,highway,traffic_signals,regular
69212069,highway,turning_circle,regular
69212380,highway,turning_circle,regular
69212422,highway,turning_loop,regular
69213504,highway,turning_circle,regular
69213908,highway,turning_circle,regular
69214075,highway,turning_circle,regular
69215361,highway,turning_circle,regular
69218310,highway,turning_circle,regular
69220328,highway,turning_circle,regular
69220649,highway,turning_circle,regular
69220788,highway,turning_circle,regular
69223934,highway,turning_circle,regular
69232889,highway,turning_circle,regular
69232942,highway,turning_circle,regular
69237425,highway,turning_circle,regular
69238836,highway,turning_loop,regular
69238844,highway,turning_circle,regular
69239611,highway,turning_loop,regular
69239651,highway,turning_loop,regular
69244336,highway,turning_circle,regular
69245182,highway,turning_circle,regular
69246394,highway,turning_circle,regular
69246689,highway,turning_circle,regular
69248612,highway,turning_circle,regular
69249741,highway,turning_circle,regular
69250809,highway,turning_circle,regular
69252462,highway,turning_circle,regular
69252745,highway,turning_loop,regular
69256047,highway,traffic_signals,regular
69256112,highway,traffic_signals,regular
69257949,highway,turning_circle,regular
69258215,highway,turning_circle,regular
69258239,highway,turning_circle,regular
69258461,highway,turning_circle,regular
69260473,highway,turning_circle,regular
69261811,highway,turning_circle,regular
69263735,highway,turning_loop,regular
69263756,highway,turning_circle,regular
69263771,highway,turning_circle,regular
69264634,highway,turning_circle,regular
69266241,highway,turning_circle,regular
69266368,highway,turning_circle,regular
69268310,highway,turning_circle,regular
69269724,highway,turning_loop,regular
69270065,highway,turning_circle,regular
69271625,highway,turning_loop,regular
69271638,highway,turning_circle,regular
69273749,highway,traffic_signals,regular
69273785,highway,turning_circle,regular
69274620,highway,turning_circle,regular
69275167,highway,turning_circle,regular
69277121,highway,turning_circle,regular
69277786,highway,turning_circle,regular
69283874,highway,turning_circle,regular
69283905,highway,turning_circle,regular
69286248,highway,turning_circle,regular
69290331,highway,turning_circle,regular
69292306,highway,turning_circle,regular
69294123,highway,turning_circle,regular
69301867,highway,turning_circle,regular
69303819,highway,turning_circle,regular
69304370,highway,traffic_signals,regular
69304695,highway,turning_circle,regular
69304915,highway,turning_circle,regular
69305294,highway,turning_circle,regular
69305354,highway,turning_circle,regular
69305431,highway,turning_circle,regular
69305761,highway,turning_circle,regular
69306280,highway,turning_circle,regular
69307735,highway,turning_circle,regular
69308437,highway,turning_circle,regular
69308742,highway,stop,regular
69309981,highway,turning_circle,regular
69310747,highway,turning_circle,regular
69311473,highway,turning_circle,regular
69314667,highway,turning_circle,regular
69320443,highway,traffic_signals,regular
69320461,highway,traffic_signals,regular
69320514,highway,traffic_signals,regular
69320524,highway,traffic_signals,regular
69320860,highway,turning_circle,regular
69321990,highway,turning_circle,regular
69322296,highway,turning_circle,regular
69322611,highway,turning_circle,regular
69323561,highway,turning_circle,regular
69323919,highway,turning_circle,regular
69328247,highway,turning_circle,regular
69335636,highway,turning_circle,regular
69336499,highway,turning_circle,regular
69339262,highway,turning_circle,regular
69340707,highway,turning_circle,regular
69341134,highway,turning_circle,regular
69341295,highway,turning_circle,regular
69341310,highway,turning_circle,regular
69341952,highway,turning_circle,regular
69343226,highway,turning_circle,regular
69346327,highway,turning_circle,regular
69346524,highway,turning_circle,regular
69347136,highway,turning_loop,regular
69347667,highway,turning_circle,regular
69351618,highway,turning_circle,regular
69351885,highway,turning_circle,regular
69351986,highway,turning_circle,regular
69352528,highway,turning_circle,regular
69355803,highway,traffic_signals,regular
69355948,highway,traffic_signals,regular
69357982,highway,traffic_signals,regular
69358287,highway,turning_circle,regular
69360577,highway,turning_circle,regular
69361947,highway,turning_circle,regular
69364126,highway,turning_circle,regular
69365003,highway,turning_circle,regular
69365068,highway,turning_circle,regular
69365460,highway,turning_circle,regular
69365600,highway,turning_circle,regular
69367920,highway,turning_circle,regular
69369377,highway,turning_circle,regular
69369894,highway,turning_circle,regular
69370219,highway,turning_circle,regular
69371420,highway,traffic_signals,regular
69372096,highway,turning_circle,regular
69372385,highway,turning_circle,regular
69372473,highway,turning_circle,regular
69372998,highway,turning_loop,regular
69373753,highway,turning_circle,regular
69373960,highway,turning_circle,regular
69377310,highway,turning_circle,regular
69380262,highway,turning_circle,regular
69383155,highway,turning_circle,regular
69387056,highway,turning_circle,regular
69387812,highway,turning_circle,regular
69389305,highway,turning_circle,regular
69389723,highway,turning_circle,regular
69389730,highway,turning_circle,regular
69389821,highway,turning_circle,regular
69389965,highway,turning_circle,regular
69390361,highway,turning_circle,regular
69391202,highway,turning_circle,regular
69391711,highway,turning_circle,regular
69393225,highway,turning_circle,regular
69402105,highway,turning_loop,regular
69402226,highway,turning_circle,regular
69403655,highway,turning_circle,regular
69404200,highway,turning_circle,regular
69404330,highway,turning_loop,regular
69407557,highway,turning_circle,regular
69407974,highway,turning_circle,regular
69407979,highway,turning_circle,regular
69408348,highway,turning_circle,regular
69408823,highway,turning_circle,regular
69416385,highway,turning_circle,regular
69418888,highway,turning_circle,regular
69420719,highway,turning_circle,regular
69421869,highway,turning_loop,regular
69422490,highway,turning_circle,regular
69425134,highway,turning_circle,regular
69428305,highway,turning_loop,regular
69435262,highway,turning_loop,regular
69435739,highway,turning_loop,regular
69441617,highway,turning_circle,regular
69445713,highway,turning_circle,regular
69445737,highway,turning_circle,regular
69446274,highway,turning_circle,regular
69446871,highway,turning_circle,regular
69449350,highway,traffic_signals,regular
69449736,highway,traffic_signals,regular
69449862,highway,traffic_signals,regular
69450125,highway,traffic_signals,regular
69450806,highway,traffic_signals,regular
69452777,highway,turning_circle,regular
69453441,highway,turning_circle,regular
69453974,highway,turning_circle,regular
69454654,highway,turning_circle,regular
69455865,highway,turning_circle,regular
69456236,highway,turning_circle,regular
69457015,highway,turning_circle,regular
69457097,highway,turning_circle,regular
69457168,highway,turning_circle,regular
69457174,highway,turning_circle,regular
69457229,highway,turning_circle,regular
69458491,highway,turning_circle,regular
69460422,highway,turning_circle,regular
69462038,highway,turning_circle,regular
69462669,highway,turning_circle,regular
69463175,highway,turning_loop,regular
69465047,highway,turning_circle,regular
69465055,highway,turning_circle,regular
69465098,highway,turning_circle,regular
69467233,highway,turning_circle,regular
69470348,highway,turning_circle,regular
69471707,highway,traffic_signals,regular
69471758,highway,traffic_signals,regular
69472469,highway,turning_circle,regular
69473122,highway,turning_circle,regular
69474296,highway,turning_circle,regular
69474346,highway,turning_circle,regular
69476743,highway,turning_circle,regular
69480528,highway,turning_circle,regular
69480755,highway,turning_circle,regular
69482204,highway,turning_loop,regular
69485506,highway,turning_circle,regular
69487091,highway,turning_circle,regular
69487916,highway,turning_circle,regular
69488766,highway,turning_circle,regular
69488907,highway,turning_circle,regular
69489538,highway,turning_circle,regular
69491178,highway,turning_circle,regular
69491494,highway,turning_loop,regular
69492198,highway,turning_circle,regular
69492279,highway,turning_circle,regular
69500281,highway,turning_circle,regular
69501346,highway,turning_circle,regular
69501435,highway,turning_circle,regular
69501729,highway,turning_circle,regular
69502733,highway,turning_circle,regular
69502888,highway,turning_circle,regular
69506315,highway,turning_circle,regular
69508083,highway,traffic_signals,regular
69508723,highway,turning_circle,regular
69512262,highway,turning_circle,regular
69512273,highway,turning_circle,regular
69513617,highway,turning_circle,regular
69513866,highway,turning_circle,regular
69514110,highway,turning_loop,regular
69514180,highway,turning_loop,regular
69514470,highway,turning_circle,regular
69515327,highway,turning_circle,regular
69516316,highway,turning_circle,regular
69519071,highway,turning_circle,regular
69519521,highway,turning_circle,regular
69521500,highway,turning_loop,regular
69521808,highway,turning_circle,regular
69525659,highway,turning_circle,regular
69526804,highway,turning_circle,regular
69528142,highway,turning_circle,regular
69529245,highway,turning_circle,regular
69529793,highway,turning_circle,regular
69533337,highway,turning_circle,regular
69536108,highway,turning_circle,regular
69537985,highway,turning_circle,regular
69538570,highway,turning_circle,regular
69540460,highway,turning_circle,regular
69542111,highway,turning_circle,regular
69542716,highway,turning_circle,regular
69543352,highway,turning_circle,regular
69545224,highway,turning_circle,regular
69549100,highway,turning_circle,regular
69549453,highway,turning_loop,regular
69549462,highway,turning_circle,regular
69549684,highway,turning_circle,regular
69550088,highway,turning_circle,regular
69550142,highway,turning_circle,regular
69550161,highway,turning_circle,regular
69552399,highway,turning_circle,regular
69552481,highway,turning_circle,regular
69559950,highway,turning_circle,regular
69562429,highway,turning_circle,regular
69562984,highway,turning_loop,regular
69563217,highway,turning_circle,regular
69563591,highway,turning_circle,regular
69563986,highway,turning_circle,regular
69564037,highway,turning_circle,regular
69565086,highway,turning_circle,regular
69565419,highway,turning_circle,regular
69565944,highway,turning_circle,regular
69566823,highway,turning_loop,regular
69570091,highway,turning_circle,regular
69570098,highway,turning_circle,regular
69570277,highway,turning_circle,regular
69570314,highway,turning_circle,regular
69571046,highway,turning_circle,regular
69572334,highway,turning_circle,regular
69572352,highway,turning_circle,regular
69573148,highway,turning_circle,regular
69576642,highway,turning_circle,regular
69576677,highway,turning_circle,regular
69577818,highway,turning_circle,regular
69577873,highway,turning_circle,regular
69581048,highway,turning_circle,regular
69581579,highway,turning_circle,regular
69581912,highway,traffic_signals,regular
69583744,highway,turning_circle,regular
69588534,highway,turning_circle,regular
69590582,highway,turning_circle,regular
69592336,highway,turning_circle,regular
69595321,highway,turning_circle,regular
69595630,highway,turning_circle,regular
69595951,highway,turning_circle,regular
69597578,highway,traffic_signals,regular
69600008,highway,turning_circle,regular
69600919,highway,turning_circle,regular
69601741,highway,turning_circle,regular
69603059,highway,turning_circle,regular
69603831,highway,turning_circle,regular
69604164,highway,turning_loop,regular
69606780,highway,turning_circle,regular
69607157,highway,turning_circle,regular
69607581,highway,turning_circle,regular
69611611,highway,turning_circle,regular
69612245,highway,turning_circle,regular
69613018,highway,turning_circle,regular
69614692,highway,turning_circle,regular
69615039,highway,turning_circle,regular
69616544,highway,turning_circle,regular
69618639,highway,turning_circle,regular
69618877,highway,turning_circle,regular
69620314,highway,turning_circle,regular
69620758,highway,turning_circle,regular
69622125,highway,turning_circle,regular
69623158,highway,turning_circle,regular
69623753,highway,turning_loop,regular
69624972,highway,turning_circle,regular
69625307,highway,turning_circle,regular
69627020,highway,turning_circle,regular
69627250,highway,turning_circle,regular
69627276,highway,turning_circle,regular
69627851,highway,turning_circle,regular
69628190,highway,turning_circle,regular
69629226,highway,turning_circle,regular
69633230,highway,turning_circle,regular
69635153,highway,turning_circle,regular
69635540,highway,turning_circle,regular
69636043,highway,turning_circle,regular
69637640,highway,turning_circle,regular
69639016,highway,turning_circle,regular
69640048,highway,turning_circle,regular
69640821,highway,turning_circle,regular
69640843,highway,turning_circle,regular
69643704,highway,turning_loop,regular
69646621,highway,turning_circle,regular
69648582,highway,turning_circle,regular
69648724,highway,turning_circle,regular
69649051,highway,turning_circle,regular
69649606,highway,turning_circle,regular
69650687,highway,turning_circle,regular
69651317,highway,turning_loop,regular
69651465,highway,turning_circle,regular
69651758,highway,turning_circle,regular
69651802,highway,turning_circle,regular
69652245,highway,turning_circle,regular
69654662,highway,turning_circle,regular
69655904,highway,turning_circle,regular
69656738,highway,turning_circle,regular
69656807,highway,turning_loop,regular
69657003,highway,turning_circle,regular
69657746,highway,turning_circle,regular
69660253,highway,turning_circle,regular
69662819,highway,turning_circle,regular
69665766,highway,turning_loop,regular
69667203,highway,turning_circle,regular
69667412,highway,turning_circle,regular
69667824,highway,turning_circle,regular
69671763,highway,turning_circle,regular
69672512,highway,turning_circle,regular
69673512,highway,turning_circle,regular
69674715,highway,turning_circle,regular
69674802,highway,turning_circle,regular
69675507,highway,turning_circle,regular
69678040,highway,turning_circle,regular
69679722,highway,traffic_signals,regular
69680110,highway,turning_circle,regular
69680130,highway,turning_circle,regular
69683692,highway,stop,regular
